,ind,content,obj_num,disconnected_stroke,stroke_sum,junc_sum,file_loc,PC,inkArea,perimeter
77,78,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 19.BMP,41.2994551711388,5207.2862745098,1643.92810457516
78,79,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 20.BMP,31.1571936063798,4028.78431372549,1255.94640522876
79,80,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 21.BMP,40.0999979891636,4872.87450980392,1567.00261437908
80,81,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 22.BMP,46.5702515213056,5884.66666666667,1855.75294117647
81,82,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 23.BMP,38.1818925447857,4820.58823529412,1520.84052287582
82,83,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 24.BMP,46.4915962176657,5849.15294117647,1848.58169934641
83,84,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 25.BMP,33.153528600199,4511.71764705882,1371.01045751634
84,85,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 26.BMP,37.8879395509982,4713.63529411765,1498.07450980392
85,86,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 27.BMP,28.3097977229257,3455.49803921569,1108.73725490196
86,87,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 28.BMP,43.0591059915242,5563.55294117647,1735.05620915033
87,88,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 29.BMP,36.2078136512728,4489.9568627451,1429.31241830065
88,89,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 30.BMP,49.2829343952036,6199.02745098039,1959.36339869281
89,90,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 31.BMP,41.3452552453676,5284.25098039216,1656.95032679739
90,91,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 32.BMP,39.0997319837209,5141.13725490196,1589.3568627451
91,92,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 33.BMP,31.5133801203609,3645.14509803922,1201.4614379085
92,93,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 34.BMP,35.2824146977392,4773.30196078431,1454.76732026144
93,94,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 35.BMP,44.4298005338392,5302.03529411765,1720.53464052288
94,95,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 36.BMP,26.1964007261487,3147.2431372549,1017.86666666667
95,96,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 37.BMP,37.0438371835976,4722.74117647059,1482.72287581699
96,97,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 38.BMP,40.2827209568691,4617.29411764706,1528.82614379085
97,98,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 39.BMP,49.8832894406292,6028.3568627451,1943.93594771242
98,99,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 40.BMP,38.2449325514712,5216.65098039216,1583.38954248366
99,100,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 41.BMP,27.1472249389775,3162.52941176471,1038.68758169935
100,101,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 42.BMP,38.3365461347484,4698.43921568627,1504.4862745098
101,102,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 43.BMP,41.3290323742928,5225.75294117647,1647.43006535948
102,103,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 44.BMP,38.777685860171,4980.87058823529,1557.93202614379
103,104,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 45.BMP,41.8930448225745,5329.0862745098,1674.95163398693
104,105,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 46.BMP,40.9941844359501,4864.36470588235,1582.99346405229
105,106,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 47.BMP,35.3178070196369,4224.69019607843,1369.30196078431
106,107,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 48.BMP,27.5547058934708,3329.37647058823,1073.70326797386
107,108,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 49.BMP,39.2496080464563,4851.46666666667,1546.88888888889
108,109,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 50.BMP,50.3842762635916,6409.36078431373,2014.46535947712
109,110,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 51.BMP,37.0561957293438,5002.79215686275,1526.30588235294
110,111,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 52.BMP,39.0997319837209,5141.13725490196,1589.3568627451
111,112,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 53.BMP,41.2994551711388,5207.2862745098,1643.92810457516
112,113,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 54.BMP,46.5702515213056,5884.66666666667,1855.75294117647
113,114,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 55.BMP,36.2078136512728,4489.9568627451,1429.31241830065
114,115,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 56.BMP,31.5133801203609,3645.14509803922,1201.4614379085
115,116,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 57.BMP,40.0999979891636,4872.87450980392,1567.00261437908
116,117,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 58.BMP,39.2496080464563,4851.46666666667,1546.88888888889
117,118,,,,,,/Users/alex/Documents/GitHub/Visual-Similarity/Data/3_Maurer_Japanese_del//3_Word_ 59.BMP,47.2357186178323,5942.47843137255,1878.12287581699
