,Unnamed: 0,ord,file_loc,character,num_of_obj,sum_of_stroke,vertices,disconnected_strokes,perimetric_complexity
39,39,118,KSH20.png,空,5,10,8.0,1.0,25.6240633062798
40,40,149,CSH21.png,京,5,8,6.0,4.0,11.1366979910843
41,41,129,CSH22.png,前,6,9,6.0,4.0,18.7614501270152
42,42,111,KSH21.png,환,2,9,3.0,1.0,13.4401110337762
43,43,93,KSH22.png,첼,3,12,7.0,1.0,16.5450488184862
44,44,98,KSH23.png,밝,3,13,10.0,0.0,18.0285639670656
45,45,142,CSH23.png,将,3,10,6.0,2.0,12.6640875946426
46,46,131,KSH24.png,空,4,9,8.0,1.0,27.1359765739364
47,47,140,KSH25.png,걸,2,9,6.0,0.0,21.2553205727998
48,48,160,KSH26.png,촌,3,8,4.0,1.0,21.8884236364462
49,49,88,CSH24.png,组,3,6,9.0,1.0,13.7854551664361
50,50,103,CSH25.png,各,1,11,8.0,0.0,13.3306278206213
51,51,119,CSH26.png,先,0,11,7.0,0.0,18.0849197694044
52,52,110,CSH27.png,问,4,6,6.0,2.0,11.9346146079387
53,53,153,KSH27.png,센,4,7,3.0,0.0,15.5706223129062
54,54,48,KSH28.png,콜,3,11,7.0,0.0,25.0207193234104
55,55,53,KSH29.png,뚱,3,9,5.0,0.0,20.0155361666906
56,56,73,CSH28.png,把,1,8,11.0,0.0,18.1736664106622
57,57,132,KSH30.png,空,4,10,12.0,0.0,20.9541347161433
58,58,139,KSH31.png,空,3,12,13.0,0.0,27.0322145059775
59,59,161,KSH32.png,찰,4,11,7.0,1.0,24.2922474190073
60,60,152,KSH33.png,돈,1,7,4.0,0.0,16.1146460584164
61,61,84,CSH29.png,但,3,7,6.0,1.0,12.1717909260637
62,62,117,KSH34.png,전,3,7,4.0,0.0,15.0818918358867
63,63,112,KSH35.png,압,3,7,5.0,0.0,15.7576997262253
64,64,89,CSH30.png,面,0,9,13.0,0.0,21.5849367480424
65,65,101,CSH31.png,说,4,14,10.0,3.0,18.4277387746125
66,66,120,CSH32.png,命,3,8,8.0,1.0,12.7291484075484
67,67,92,KSH36.png,배,2,7,6.0,0.0,15.7957082481619
68,68,99,KSH37.png,려,1,8,6.0,0.0,17.5557825510047
69,69,109,CSH33.png,主,1,5,3.0,1.0,12.7398177725463
70,70,68,KSH38.png,탕,1,7,4.0,0.0,16.9754692263434
71,71,62,KSH39.png,한,4,7,2.0,1.0,16.851593549582
72,72,180,KSH40.png,레,3,8,5.0,0.0,15.4885751662821
73,73,162,CSH34.png,处,1,5,6.0,0.0,11.3243186196733
74,74,150,CSH35.png,后,1,6,7.0,0.0,14.038293982466
75,75,173,KSH41.png,러,1,7,5.0,0.0,15.8627213595278
76,76,127,CSH36.png,多,2,6,6.0,0.0,14.4303549962632
77,77,143,CSH37.png,此,2,6,6.0,0.0,14.2533655467069
78,78,40,CSH38.png,名,0,6,7.0,0.0,16.0961228232069
79,79,31,CSH39.png,当,3,6,3.0,3.0,7.330984797839
80,80,219,CSH40.png,动,3,6,6.0,1.0,12.6649161233927
81,81,208,CSH41.png,议,3,10,3.0,2.0,11.5441403842879
82,82,191,KSH42.png,제,3,6,3.0,0.0,14.8467511017651
83,83,225,CSH42.png,对,2,5,,,9.62125236205517
84,84,237,CSH43.png,色,0,6,,,18.3634471523603
85,85,200,KSH43.png,들,3,9,6.0,1.0,24.4659733802928
86,86,228,KSH44.png,넷,4,7,3.0,0.0,14.5598009824599
