ind,content,num_of_obj,sum_of_obj,sum_of_stroke,sum_of_junc,file_loc,PC,inkArea,perimeter
63,RAD,3,"[5, 4, 5]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (63).BMP,8.55531599550211,14607.6196078431,1253.17777777778
64,HUT,3,"[3, 2, 3]",8,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (64).BMP,9.03027585101784,11228.7176470588,1128.8091503268
65,BOOT,4,"[5, 3, 3, 3]",14,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (65).BMP,15.1336475037954,19667.5411764706,1933.97908496732
66,BEIN,4,"[5, 3, 3, 2]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (66).BMP,14.1746499577751,17622.6274509804,1771.72549019608
67,MILCH,5,"[2, 3, 3, 2, 3]",13,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (67).BMP,15.1140285923802,18546.2784313725,1876.82352941177
68,KNIE,4,"[3, 2, 3, 3]",11,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (68).BMP,12.9369699189558,16482.9450980392,1636.96209150327
69,OHR,3,"[3, 3, 5]",11,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (69).BMP,9.72309638406739,12590.8235294118,1240.32156862745
70,PFERD,5,"[4, 6, 3, 5, 5]",23,19,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (70).BMP,14.771700712209,21480.2901960784,1996.82614379085
71,KIND,4,"[3, 3, 2, 5]",13,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (71).BMP,12.5093226704877,18487.062745098,1704.73071895425
72,HUT,3,"[3, 2, 3]",8,4,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (72).BMP,9.03027585101784,11228.7176470588,1128.8091503268
73,OHR,3,"[3, 3, 5]",11,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (73).BMP,9.72309638406739,12590.8235294118,1240.32156862745
74,BOOT,4,"[5, 3, 3, 3]",14,13,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (74).BMP,15.1336475037954,19667.5411764706,1933.97908496732
75,KIND,4,"[3, 3, 2, 5]",13,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (75).BMP,12.5093226704877,18487.062745098,1704.73071895425
76,TAG,3,"[3, 4, 3]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (76).BMP,8.18045884555443,11623,1093.08235294118
77,KNIE,4,"[3, 2, 3, 3]",11,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (77).BMP,12.9369699189558,16482.9450980392,1636.96209150327
78,SPIEL,5,"[3, 4, 3, 3, 3]",16,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (78).BMP,15.0903476676076,21159.6431372549,2003.12810457516
79,RAD,3,"[5, 4, 5]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (79).BMP,8.55531599550211,14607.6196078431,1253.17777777778
80,BEIN,4,"[5, 3, 3, 2]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (80).BMP,14.1746499577751,17622.6274509804,1771.72549019608
81,WORT,4,"[3, 3, 5, 3]",14,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (81).BMP,11.4241071267737,15388.8588235294,1486.34379084967
82,MANN,4,"[2, 4, 2, 2]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (82).BMP,14.9475372112728,20292.7921568627,1952.36339869281
83,GELD,4,"[3, 3, 3, 5]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (83).BMP,12.667892977345,18128.1803921569,1698.76862745098
84,MILCH,5,"[2, 3, 3, 2, 3]",13,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Symbol_ (84).BMP,15.1140285923802,18546.2784313725,1876.82352941177
85,OHR,3,"[1, 3, 3]",7,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (1).BMP,34.5357679139394,4412.76862745098,1383.86928104575
86,BEIN,4,"[3, 4, 1, 3]",11,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (2).BMP,41.7467787791053,5953.34509803922,1767.24575163399
87,KIND,4,"[3, 1, 3, 2]",9,9,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (3).BMP,41.0889962697888,5588.96078431373,1698.76470588235
88,WORT,4,"[4, 1, 3, 2]",10,7,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (4).BMP,46.8346080931998,5960.1137254902,1872.9045751634
89,MANN,4,"[4, 3, 3, 3]",13,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (5).BMP,52.8107440657391,6755.70980392157,2117.39346405229
90,KNIE,4,"[3, 3, 1, 4]",11,10,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (6).BMP,41.8695705257882,5819.8431372549,1749.8862745098
91,RAD,3,"[3, 3, 2]",8,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (7).BMP,34.9703505403637,4444.72156862745,1397.58169934641
92,MILCH,5,"[4, 1, 1, 1, 3]",10,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (8).BMP,49.8454070534231,6683.37254901961,2046.04575163399
93,PFERD,5,"[2, 3, 4, 3, 2]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (9).BMP,53.354798357941696,7217.86666666667,2199.86535947712
94,OHR,3,"[1, 3, 3]",7,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (10).BMP,34.5357679139394,4412.76862745098,1383.86928104575
95,BOOT,4,"[3, 1, 1, 2]",7,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (11).BMP,42.7964919108146,5508.51764705882,1721.18039215686
96,SPIEL,5,"[1, 2, 1, 4, 1]",9,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (12).BMP,45.5445692702362,6375.33333333333,1910.1816993464
97,GELD,4,"[2, 4, 1, 2]",9,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (13).BMP,40.8508802266122,5511.95294117647,1682.12549019608
98,HUT,3,"[3, 1, 2]",6,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (14).BMP,29.6295986692809,4123.87058823529,1239.13986928105
99,TAG,3,"[2, 3, 2]",7,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (15).BMP,32.303185750664,4149.47058823529,1297.84836601307
100,SPIEL,5,"[1, 2, 1, 4, 1]",9,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (16).BMP,45.5445692702362,6375.33333333333,1910.1816993464
101,BOOT,4,"[3, 1, 1, 2]",7,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (17).BMP,42.7964919108146,5508.51764705882,1721.18039215686
102,HUT,3,"[3, 1, 2]",6,3,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (18).BMP,29.6295986692809,4123.87058823529,1239.13986928105
103,BEIN,4,"[3, 4, 1, 3]",11,11,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (19).BMP,41.7467787791053,5953.34509803922,1767.24575163399
104,GELD,4,"[2, 4, 1, 2]",9,8,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (20).BMP,40.8508802266122,5511.95294117647,1682.12549019608
105,PFERD,5,"[2, 3, 4, 3, 2]",14,12,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (21).BMP,53.354798357941696,7217.86666666667,2199.86535947712
106,TAG,3,"[2, 3, 2]",7,6,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (22).BMP,32.303185750664,4149.47058823529,1297.84836601307
107,OHR,3,"[1, 3, 3]",7,5,/Users/alex/Documents/GitHub/Visual-Similarity/Data/4_Eberhard_2016_del//4_Word_ (23).BMP,34.5357679139394,4412.76862745098,1383.86928104575
